word,definition,sentence,synonyms,tags
obstinate,Stubbornly refusing to change one's opinion or course of action.,"The obstinate jar lid resisted Dad, Mom, three neighbors, and finally surrendered to Grandma without explanation.",stubborn; headstrong; inflexible; unyielding,Claude-Generated 1
obtuse,Slow to understand; not sharp or direct.,"He was so obtuse that when she said, ""Please stop calling me,"" he asked what time would be better.",dense; slow-witted; dull; insensitive,Claude-Generated 1
ominous,Suggesting that something bad is likely to happen.,"The ominous words ""I tried to fix it"" drifted from the basement just before the lights went out.",threatening; foreboding; sinister; menacing,Claude-Generated 1
onerous,"Burdensome, difficult, or requiring great effort.",The onerous task of choosing one dessert from the menu caused visible suffering at our table.,burdensome; arduous; demanding; oppressive,Claude-Generated 1
ostracize,To deliberately exclude someone from a group or society.,"After admitting he microwaved fish in the office kitchen, Gerald was ostracized with a speed normally reserved for contagious diseases.",exclude; shun; banish; isolate,Claude-Generated 1
palpable,So obvious or intense that it seems almost tangible.,The tension was palpable when Grandma asked who had put her cast-iron skillet in the dishwasher.,tangible; obvious; perceptible; unmistakable,Claude-Generated 1
paradox,A statement or situation that seems contradictory but may contain truth.,The cat's greatest paradox is demanding to go outside and then becoming furious when the door is opened.,contradiction; puzzle; inconsistency; irony,Claude-Generated 1
paragon,A model of excellence or perfection.,"According to his mother, Trevor is a paragon of responsibility, except for the three overdue library books currently under his bed.",model; exemplar; ideal; epitome,Claude-Generated 1
pariah,A person who is rejected or avoided by a group.,"After bringing tuna salad onto the crowded bus, I became a social pariah before the second stop.",outcast; exile; untouchable; reject,Claude-Generated 1
pedantic,"Overly concerned with minor rules, details, or displaying knowledge.","The pedantic waiter corrected my pronunciation of ""bruschetta"" while the kitchen behind him was visibly on fire.",academic; nitpicking; doctrinaire; fussy,Claude-Generated 1
penitent,Feeling or showing sincere regret for wrongdoing.,"The penitent puppy returned one stolen sock, though the location of the other eleven remains classified.",contrite; remorseful; repentant; apologetic,Claude-Generated 1
pensive,"Deeply or dreamily thoughtful, often with a slightly sad mood.","He looked pensive by the window, contemplating either the meaning of life or whether we had any chips left.",thoughtful; reflective; contemplative; wistful,Claude-Generated 1
pernicious,"Highly harmful, especially in a gradual or subtle way.",The pernicious rumor that Friday's test was canceled spread until thirty students arrived completely unprepared.,harmful; destructive; insidious; damaging,Claude-Generated 1
pertinent,Directly relevant to the matter being considered.,"The judge asked for pertinent facts, so Uncle Bob's seventeen-minute story about fishing was immediately disqualified.",relevant; applicable; germane; material,Claude-Generated 1
peruse,To read or examine carefully.,I perused the restaurant menu with the concentration of a surgeon and still ordered the cheeseburger.,examine; read; inspect; scrutinize,Claude-Generated 1
philanthropy,"The act of promoting others' welfare, usually through generous donations or service.","His philanthropy was admirable, although donating two hundred inflatable flamingos to the library required further discussion.",charity; benevolence; generosity; giving,Claude-Generated 1
pinnacle,The highest point or greatest level of achievement.,My culinary career reached its pinnacle when three people ate my lasagna and nobody contacted emergency services.,peak; summit; zenith; apex,Claude-Generated 1
pithy,Brief but full of meaning or substance.,"Grandma's pithy advice on marriage was, ""Be kind, and never assemble furniture together.""",concise; succinct; terse; meaningful,Claude-Generated 1
placid,"Calm and peaceful, with little disturbance.",The lake was perfectly placid until Uncle Frank attempted waterskiing and introduced chaos to several ecosystems.,calm; tranquil; serene; peaceful,Claude-Generated 1
plausible,Seemingly reasonable or likely to be true.,My excuse that a squirrel stole my homework was almost plausible until I added that it drove away in a Honda.,believable; credible; conceivable; reasonable,Claude-Generated 1
poignant,Deeply moving or emotionally touching.,The reunion was poignant until Grandpa asked whether anyone had remembered to validate parking.,moving; touching; affecting; emotional,Claude-Generated 1
pragmatic,Focused on practical results rather than theory or ideals.,Her pragmatic solution to the broken umbrella was to wear a trash bag and continue walking.,practical; realistic; sensible; utilitarian,Claude-Generated 1
precarious,"Unstable, uncertain, or dangerously likely to fail.",The birthday cake occupied a precarious position atop three pizza boxes and one extremely nervous folding chair.,unstable; risky; insecure; perilous,Claude-Generated 1
precedent,An earlier event or decision used as an example for later cases.,Allowing one child to eat ice cream for breakfast set a dangerous precedent that the siblings cited like constitutional lawyers.,example; standard; model; prior case,Claude-Generated 1
pristine,"In perfect, clean, or original condition.",The living room remained pristine for almost eleven minutes after the children came home.,immaculate; spotless; untouched; pure,Claude-Generated 1
proponent,A person who supports or advocates an idea or cause.,Grandpa became a passionate proponent of afternoon naps after conducting seventy years of research.,advocate; supporter; champion; backer,Claude-Generated 1
provincial,Narrow in outlook or limited to local concerns; also relating to a province.,"His provincial worldview assumed any restaurant more than ten miles away served ""foreign food.""",parochial; narrow-minded; local; unsophisticated,Claude-Generated 1
prowess,Exceptional skill or ability.,My athletic prowess is best demonstrated by my ability to trip over objects that are not technically there.,skill; expertise; mastery; ability,Claude-Generated 1
pungent,"Having a strong, sharp smell or taste; sharply expressive.",The cheese was so pungent that opening the refrigerator caused the dog to leave the room voluntarily.,sharp; strong; acrid; penetrating,Claude-Generated 1
quell,"To suppress, calm, or put an end to something.",The teacher quelled the classroom uprising by announcing that anyone still yelling would help clean the glitter closet.,suppress; subdue; calm; extinguish,Claude-Generated 1
rampant,Spreading or growing uncontrollably or unchecked.,Rumors were rampant after the principal entered school carrying a goat and refusing to elaborate.,uncontrolled; widespread; unchecked; pervasive,Claude-Generated 1
rapport,"A friendly, harmonious relationship marked by mutual understanding.",The dentist built instant rapport with my son by admitting that flossing is less exciting than dinosaurs.,connection; harmony; affinity; understanding,Claude-Generated 1
rebuke,To express sharp disapproval or criticism.,"Grandma rebuked the dog for stealing bacon, although her tone suggested grudging professional respect.",reprimand; reprove; admonish; censure,Claude-Generated 1
reconcile,To restore friendly relations or make two apparently conflicting things compatible.,The siblings reconciled after discovering they both blamed Dad for finishing the ice cream.,repair; harmonize; settle; reunite,Claude-Generated 1
redundant,Unnecessary because it duplicates something already present.,"The sign reading ""FREE GIFT AT NO COST"" was redundant but extremely committed to the message.",duplicate; superfluous; repetitive; unnecessary,Claude-Generated 1
relegate,To assign someone or something to a lower or less important position.,"After burning the toast six mornings in a row, Dad was relegated to pouring cereal.",demote; consign; downgrade; assign,Claude-Generated 1
relinquish,"To voluntarily give up possession, control, or a claim.","The toddler refused to relinquish the remote, citing what he called ""ancient couch law.""",surrender; yield; release; abandon,Claude-Generated 1
renounce,"To formally give up, reject, or disown something.",I renounced junk food at 8:00 a.m. and formally reversed the decision when doughnuts arrived at 8:14.,abandon; reject; repudiate; disavow,Claude-Generated 1
renown,Fame or widespread respect for achievements.,The chef gained international renown for a soufflé that remained upright longer than most governments.,fame; distinction; celebrity; prestige,Claude-Generated 1
repugnant,"Extremely unpleasant, offensive, or disgusting.",The smell from the forgotten gym bag was so repugnant that even the garbage can declined involvement.,disgusting; offensive; revolting; abhorrent,Claude-Generated 1
resilient,Able to recover quickly from difficulty or damage.,"The resilient houseplant survived neglect, darkness, and one accidental watering with lemonade.",tough; adaptable; hardy; buoyant,Claude-Generated 1
resolute,Firmly determined and unwavering.,"She remained resolute in her diet until the waiter said the words ""warm chocolate cake.""",determined; steadfast; unwavering; adamant,Claude-Generated 1
respite,A short period of rest or relief from difficulty.,"The children's nap gave us a blessed respite during which nobody asked ""why"" even once.",break; relief; pause; reprieve,Claude-Generated 1
reticent,Reluctant to speak or reveal one's thoughts.,My usually reticent neighbor became unexpectedly talkative when the subject turned to squirrels stealing tomatoes.,reserved; reluctant; quiet; restrained,Claude-Generated 1
rhetoric,"Language designed to persuade or impress, sometimes lacking substance.","The candidate's rhetoric promised prosperity, unity, and apparently much better parking everywhere.",oratory; discourse; persuasion; bombast,Claude-Generated 1
sagacious,Having excellent judgment and wisdom.,Grandma's sagacious advice was simple: never argue with toddlers or people carrying leaf blowers.,wise; shrewd; discerning; judicious,Claude-Generated 1
sanguine,"Optimistic and confident, especially in a difficult situation.",Dad remained sanguine about assembling the gazebo even after discovering twenty-seven leftover screws.,optimistic; hopeful; confident; buoyant,Claude-Generated 1
sardonic,"Grimly mocking, cynical, or scornfully humorous.","When the tent collapsed in the rain, Maya gave a sardonic smile and said, ""Luxury camping is going beautifully.""",cynical; mocking; satirical; wry,Claude-Generated 1
scathing,Severely critical and cutting.,"The critic's scathing review called the musical ""two hours of songs searching desperately for a plot.""",harsh; blistering; caustic; savage,Claude-Generated 1
scrutinize,To examine something very closely and carefully.,Grandma scrutinized the restaurant bill like a forensic accountant hunting a conspiracy involving appetizers.,examine; inspect; analyze; study,Claude-Generated 1
serendipity,The chance occurrence of something pleasant or useful.,"By pure serendipity, I took the wrong exit and discovered a bakery selling doughnuts the size of steering wheels.",chance; happy accident; fortuity; luck,Claude-Generated 1
solace,"Comfort during grief, disappointment, or distress.","After losing the game, I found solace in the knowledge that the concession stand still had nachos.",comfort; consolation; relief; support,Claude-Generated 1
stringent,"Strict, precise, and demanding.","The camp had stringent rules: no running, no shouting, and absolutely no teaching the raccoons to open coolers.",strict; rigorous; severe; exacting,Claude-Generated 1
subversive,Seeking to undermine or overthrow an established system or authority.,"The toddler's subversive campaign against bedtime involved hidden flashlights, cracker stockpiles, and whispered alliances with the dog.",rebellious; insurgent; revolutionary; undermining,Claude-Generated 1
succumb,"To give in to pressure, temptation, illness, or a stronger force.",I resisted the cookies heroically for six minutes before succumbing to their buttery propaganda.,yield; surrender; capitulate; give in,Claude-Generated 1
surmise,To form a conclusion from incomplete evidence.,"Seeing muddy paw prints on the sofa, I surmised that the dog had not spent the afternoon studying philosophy.",infer; guess; deduce; suppose,Claude-Generated 1
susceptible,Likely or easily affected by something.,"I am highly susceptible to advertising that includes the words ""limited edition"" and a picture of cheese.",vulnerable; prone; sensitive; impressionable,Claude-Generated 1
tenacious,Persistent and unwilling to give up.,The tenacious toddler spent forty minutes trying to open the childproof cabinet and eventually earned an honorary engineering degree.,persistent; determined; dogged; resolute,Claude-Generated 1
thwart,To prevent someone from accomplishing a goal.,My attempt to sneak out early was thwarted by the elevator opening directly in front of my boss.,foil; frustrate; prevent; obstruct,Claude-Generated 1
transient,Lasting only a short time; temporary.,"My enthusiasm for jogging was transient, lasting from the purchase of new shoes until the first hill.",temporary; fleeting; brief; short-lived,Claude-Generated 1
trite,Overused and lacking originality or freshness.,"His graduation speech was so trite that the phrase ""follow your dreams"" appeared to sigh from exhaustion.",clichéd; stale; banal; hackneyed,Claude-Generated 1
ubiquitous,Present or appearing everywhere.,"After I bought a yellow car, yellow cars suddenly seemed ubiquitous, as though they had been waiting for my attention.",omnipresent; widespread; pervasive; universal,Claude-Generated 1
urbane,"Polished, sophisticated, and socially confident.",The urbane host discussed opera and architecture while discreetly kicking a pizza box under the sofa.,sophisticated; polished; refined; suave,Claude-Generated 1
vehement,"Showing intense force, passion, or conviction.",Grandpa was vehement that pineapple did not belong on pizza and briefly appeared ready to testify before Congress.,forceful; passionate; emphatic; fervent,Claude-Generated 1
veracity,Truthfulness or accuracy.,"The veracity of my brother's story became doubtful when the ""giant wolf"" turned out to be a damp Pomeranian.",truthfulness; accuracy; honesty; reliability,Claude-Generated 1
vestige,A small remaining trace of something that once existed.,The lone plastic dinosaur under the couch was the final vestige of last week's toddler invasion.,trace; remnant; relic; remainder,Claude-Generated 1
vicarious,Experienced indirectly through another person's actions or feelings.,I experienced vicarious terror watching my son climb the rock wall while he experienced actual delight.,indirect; secondhand; derivative; sympathetic,Claude-Generated 1
vindicate,To clear someone from blame or prove that they were right.,The recovered security video vindicated me and revealed that the missing cheesecake had been stolen by a surprisingly agile grandmother.,exonerate; justify; clear; validate,Claude-Generated 1
vindictive,Having a strong desire for revenge.,The vindictive goose remembered exactly who had taken its bread yesterday and pursued him across the picnic field.,vengeful; spiteful; retaliatory; malicious,Claude-Generated 1
vivacious,"Attractively lively, energetic, and animated.",Our vivacious tour guide described the sewer system with enough enthusiasm to make several people consider careers in plumbing.,lively; animated; spirited; bubbly,Claude-Generated 1
vociferous,Loud and forceful in expressing opinions or feelings.,The vociferous five-year-old objected to bedtime as though arguing a landmark case before the Supreme Court.,clamorous; outspoken; vehement; loud,Claude-Generated 1
voracious,Having an enormous appetite or eagerness for something.,The voracious reader finished three novels before lunch and then attacked the cereal box because it had words on it.,ravenous; insatiable; avid; greedy,Claude-Generated 1
wane,"To decrease gradually in strength, size, or intensity.",My enthusiasm for assembling the bookshelf began to wane around the time I discovered that Step 2 had forty-seven parts.,diminish; decline; fade; ebb,Claude-Generated 1
whimsical,"Playfully unusual, fanciful, or imaginative.",The whimsical café served tea in flowerpots and gave every sandwich the name of a minor wizard.,fanciful; playful; quirky; imaginative,Claude-Generated 1
wistful,Showing gentle sadness or longing.,Grandpa looked wistful while describing the days when a candy bar cost a nickel and nobody needed twelve passwords to watch television.,longing; nostalgic; pensive; melancholy,Claude-Generated 1
wry,"Using dry, subtly mocking humor.","Looking at the collapsed tent, Dad gave a wry smile and said, ""Excellent; we've invented outdoor flooring.""",dry; ironic; sardonic; droll,Claude-Generated 1
zenith,The highest point or peak of success or power.,My social career reached its zenith when the dog chose to sit beside me instead of the person holding bacon.,peak; pinnacle; apex; summit,Claude-Generated 1
