word,definition,sentence,synonyms
reprehensible,Deserving strong condemnation; morally very wrong.,Stealing Grandma's pie was reprehensible; returning the empty dish and asking for whipped cream was somehow worse.,deplorable; shameful; disgraceful; blameworthy
reprieve,A temporary delay or escape from punishment or difficulty.,"The canceled math test gave us a reprieve, though the teacher ominously called it 'merely a postponement of destiny.'",respite; postponement; relief; stay
reprove,To criticize or correct someone for wrongdoing.,"Mom reproved the dog for stealing dinner, while the dog stared solemnly at the cat as if preparing an appeal.",rebuke; reprimand; admonish; scold
repudiate,"To reject, deny, or refuse to accept something.","After tasting the neon-green casserole, even its creator repudiated it and ordered pizza.",reject; disavow; renounce; deny
saccharine,"Excessively sweet, either in taste or sentiment.","The movie's saccharine ending featured puppies, rainbows, a group hug, and a spontaneous choir singing about friendship.",syrupy; cloying; sentimental; sugary
sate,To fully satisfy a desire or appetite.,I attempted to sate my hunger with one cookie and conducted additional research using eleven more.,satisfy; fill; gratify; satiate
scrupulous,Very careful to do things correctly and ethically.,"The scrupulous cashier returned the extra penny, documented the incident, and probably notified the Treasury.",meticulous; conscientious; principled; exact
shrewd,Showing sharp practical judgment.,"The shrewd eight-year-old sold lemonade beside the marathon finish line and accepted cash, cards, and 'desperate promises.'",astute; clever; savvy; perceptive
sinuous,Having many smooth curves or bends.,The sinuous garden path wound so dramatically that reaching the mailbox felt like crossing the Andes.,winding; curving; serpentine; twisting
slapdash,Done carelessly and too quickly.,"His slapdash repair involved duct tape, chewing gum, and the phrase 'Nobody touch the ceiling fan.'",careless; hasty; shoddy; makeshift
solemn,"Serious, formal, and dignified.","With solemn faces, the children buried the broken remote control and observed seven seconds of silence.",serious; grave; somber; dignified
spartan,"Very simple, austere, and lacking comfort or luxury.","The hotel room was spartan: one bed, one chair, and a decorative painting that appeared to apologize.",austere; bare; simple; severe
spurn,To reject someone or something with contempt.,The cat spurned the expensive salmon and ate a dust bunny from beneath the refrigerator.,reject; rebuff; scorn; disdain
stalwart,"Loyal, dependable, and strong; a devoted supporter.","Our stalwart babysitter remained calm through a power outage, a plumbing leak, and the toddler declaring himself emperor.",loyal; steadfast; reliable; staunch
stanza,A grouped set of lines in a poem.,"My poem's final stanza rhymed 'orange' with 'door hinge,' causing the English teacher to age visibly.",verse; section; poetic unit
stasis,A state in which there is little or no change or movement.,"Negotiations reached stasis when both siblings refused to surrender the blue cup, despite six identical cups nearby.",standstill; equilibrium; inactivity; deadlock
sterile,Free from living microorganisms; also lacking creativity or vitality.,The laboratory was sterile; my brother's bedroom appeared to be conducting the opposite experiment.,germ-free; aseptic; barren; lifeless
strident,"Loud, harsh, and forceful.","A strident voice from the back seat demanded to know whether we were there yet, fourteen seconds after departure.",shrill; harsh; clamorous; forceful
stymie,"To block, hinder, or prevent progress.",My plan to become a world-famous chef was stymied by the discovery that boiling water requires attention.,thwart; hinder; obstruct; frustrate
supple,Flexible and able to bend easily; adaptable.,The yoga instructor was supple enough to fold herself like a paper clip; I was supple enough to reach one sock.,flexible; limber; pliant; adaptable
surly,Bad-tempered and unfriendly.,The surly barista wrote 'Probably Brian' on my cup and sighed as though coffee itself had betrayed him.,gruff; sullen; irritable; unfriendly
surreptitious,"Secretive, especially because discovery would cause trouble.",My surreptitious midnight trip to the refrigerator failed when the cheese drawer squeaked like a haunted violin.,secret; stealthy; furtive; covert
tantamount,Equivalent in effect or seriousness.,"For my grandmother, declining a second helping was tantamount to declaring war on the family.",equivalent; comparable; virtually the same
temerity,Excessive boldness or nerve.,He had the temerity to correct Grandma's lasagna recipe while actively eating his third serving.,audacity; nerve; boldness; impudence
tenuous,"Very weak, slight, or uncertain.","My tenuous excuse for being late involved a squirrel, a drawbridge, and several events that do not occur in our state.",weak; flimsy; fragile; doubtful
torpor,A state of physical or mental inactivity or sluggishness.,"After Thanksgiving dinner, the entire family entered a state of torpor broken only by the distant sound of pie being served.",lethargy; sluggishness; stupor; inactivity
ungainly,"Awkward, clumsy, or difficult to handle.","The ungainly inflatable flamingo required four adults, two ropes, and an apology to the neighbor's hedge.",awkward; clumsy; cumbersome; graceless
unwitting,Not aware of what one is doing or of the full facts.,I became the unwitting accomplice in my niece's cookie theft when she hid the evidence in my coat pocket.,unaware; inadvertent; unsuspecting; accidental
venerate,To regard with very great respect or reverence.,"My family venerates Grandma's secret cookie recipe, though Grandma insists the secret is 'following the directions on the bag.'",revere; honor; worship; esteem
verisimilitude,The appearance of being true or real.,The cardboard spaceship had surprising verisimilitude until the captain's mother called him inside for dinner.,realism; authenticity; plausibility; lifelikeness
vigilant,Watchful and alert for danger or problems.,The vigilant lifeguard noticed every unsafe swimmer except the duck repeatedly stealing French fries.,watchful; alert; attentive; wary
virtuoso,"A person with exceptional skill, especially in music or art.",The piano virtuoso played Chopin flawlessly while I contributed by turning pages at several completely wrong moments.,master; expert; prodigy; maestro
virulent,"Extremely harmful, hostile, or poisonous; especially severe of a disease or criticism.",The review was so virulent that the restaurant's bread basket may have needed therapy.,toxic; vicious; severe; venomous
vituperous,"Full of harsh, abusive criticism.","The losing candidate's vituperous speech accused the bake-sale judges of corruption, incompetence, and suspicious loyalty to brownies.",abusive; scathing; vitriolic; insulting
willful,"Deliberate and intentional, especially stubbornly disobedient.",The dog's destruction of the couch looked willful; he paused halfway through to make eye contact.,deliberate; intentional; obstinate; headstrong
zealous,Showing intense enthusiasm or devotion.,The zealous crossing guard treated our quiet cul-de-sac like the final checkpoint in an international security operation.,fervent; enthusiastic; ardent; devoted
