word,definition,sentences,synonyms,tags
revel,"to enjoy something greatly; to celebrate noisily","The pig reveled in the mud with the joy of a creature who has never owned laundry.","delight, bask, celebrate",Claude Bonus Words 1
revile,"to criticize with hatred","Commuters revile the downtown roundabout, which locals believe was designed as a prank.","despise, loathe, condemn",Claude Bonus Words 1
revoke,"to officially cancel or take back","My kitchen privileges were revoked after the great spaghetti ceiling incident.","cancel, withdraw, rescind",Claude Bonus Words 1
rift,"a crack, split, or serious break in relations","The great rift between Team Crunchy and Team Smooth peanut butter divides our pantry to this day.","split, breach, divide",Claude Bonus Words 1
sacrosanct,"too important or sacred to be interfered with","Saturday morning cartoons are sacrosanct, and Dad's mowing schedule must yield.","sacred, inviolable, untouchable",Claude Bonus Words 1
salutary,"producing a beneficial effect, especially after unpleasantness","Losing my phone for a day had the salutary effect of teaching me my family is actually hilarious.","beneficial, wholesome, helpful",Claude Bonus Words 1
sanctimonious,"acting morally superior in an annoying way","He got sanctimonious about my screen time from behind three monitors and a gaming headset.","self-righteous, holier-than-thou, smug",Claude Bonus Words 1
scapegoat,"a person unfairly blamed for others' wrongs","The dog has been the scapegoat for so many missing snacks that he now hides when the fridge opens.","fall guy, whipping boy, patsy",Claude Bonus Words 1
schism,"a split into opposing factions","The book club schism of 2023 began over one spoiler and ended with two rival book clubs meeting on the same night.","split, division, rupture",Claude Bonus Words 1
scourge,"a cause of great suffering or trouble","Glitter is the scourge of our household: one craft project, and we'll be finding it at graduation.","plague, curse, affliction",Claude Bonus Words 1
secular,"not religious or spiritual in nature","The debate over pineapple pizza is secular, yet people bring a missionary zeal to it.","worldly, nonreligious, lay",Claude Bonus Words 1
semblance,"an outward appearance, sometimes misleading","We restored a semblance of order to the playroom by shoveling everything into one heroic closet.","appearance, guise, veneer",Claude Bonus Words 1
seminal,"highly influential on later developments","Her seminal discovery that the copier makes excellent birthday banners changed office parties forever.","groundbreaking, influential, formative",Claude Bonus Words 1
sequester,"to isolate or set apart","I sequestered myself in the pantry to finish the chips in peace, but the crinkle betrayed me.","isolate, seclude, segregate",Claude Bonus Words 1
shirk,"to avoid work or duty","He shirks dish duty by developing a sudden, urgent interest in homework.","dodge, evade, avoid",Claude Bonus Words 1
shun,"to deliberately avoid someone or something","The cats shunned the expensive new bed and held a formal ceremony in the cardboard box it came in.","avoid, ostracize, snub",Claude Bonus Words 1
slander,"false spoken statements that damage a reputation","Telling everyone I scream at scary movies is slander; I scream at mildly surprising ones too, so it's accurate.","defamation, smear, libel",Claude Bonus Words 1
sordid,"dirty, dishonest, or morally low","The sordid history of the church bake sale involves espionage, a stolen recipe, and two very smug grandmothers.","seedy, sleazy, squalid",Claude Bonus Words 1
specious,"seemingly true but actually false","His specious argument that chores 'build character' fell apart when we noticed he never does any.","misleading, deceptive, false",Claude Bonus Words 1
stifle,"to smother or suppress","I tried to stifle my laughter during the ceremony, and the resulting snort echoed for generations.","suppress, smother, muffle",Claude Bonus Words 1
stigma,"a mark of shame or disgrace","He never escaped the stigma of microwaving fish in the office kitchen.","shame, disgrace, taint",Claude Bonus Words 1
stipulate,"to demand or specify as a condition of an agreement","My sister's babysitting contract stipulates payment in cash, pizza, and full remote control custody.","specify, require, mandate",Claude Bonus Words 1
subjugate,"to bring under complete control","The new kitten subjugated the entire household within a week; we now eat dinner around her nap schedule.","conquer, dominate, subdue",Claude Bonus Words 1
substantiate,"to provide evidence to prove a claim","I can substantiate my Bigfoot sighting with a photo of what is admittedly a blurry tree.","verify, prove, corroborate",Claude Bonus Words 1
subterfuge,"deceit used to achieve a goal","Through elaborate subterfuge involving a decoy backpack, I smuggled snacks into movie night.","trickery, deception, ruse",Claude Bonus Words 1
taint,"to contaminate or spoil","One anchovy tainted the entire pizza, according to the dramatic testimony of my brother.","contaminate, spoil, pollute",Claude Bonus Words 1
tangential,"only slightly connected to the main point","His book report on sharks was tangential at best, since the book was about the Revolutionary War.","peripheral, unrelated, digressive",Claude Bonus Words 1
tempestuous,"stormy; full of strong, turbulent emotion","Their tempestuous Monopoly games have ended three family game nights and one card table.","stormy, turbulent, volatile",Claude Bonus Words 1
tenet,"a principle or belief held as true","A central tenet of Grandpa's philosophy is that any problem can be fixed with duct tape or gravy.","principle, doctrine, belief",Claude Bonus Words 1
tepid,"lukewarm; lacking enthusiasm","The crowd gave a tepid response to the mime, which he mimed being devastated by.","lukewarm, halfhearted, unenthusiastic",Claude Bonus Words 1
tirade,"a long, angry speech","One untied shoelace triggered Coach's twenty-minute tirade on preparedness, discipline, and the fall of civilizations.","rant, diatribe, harangue",Claude Bonus Words 1
tortuous,"full of twists and turns; complex","The instructions to Grandma's house are so tortuous they include the phrase 'turn left at the third cow.'","winding, twisting, convoluted",Claude Bonus Words 1
tout,"to promote or praise energetically","The infomercial touted the blender as life-changing, and at 2 a.m., I believed.","promote, hype, plug",Claude Bonus Words 1
transcend,"to rise above or go beyond limits","Grandma's lasagna transcends recipe status; it is an event with a waiting list.","surpass, exceed, rise above",Claude Bonus Words 1
transgress,"to go beyond acceptable limits; to violate a rule","Those who transgress the 'no cleats in the house' rule face the wrath of whoever mopped.","violate, breach, overstep",Claude Bonus Words 1
travesty,"a distorted or absurd imitation of something","The school lunch calling itself 'street tacos' is a travesty that the streets did not authorize.","mockery, sham, parody",Claude Bonus Words 1
trenchant,"sharp, incisive, and effective","Her trenchant three-word review of the movie ('popcorn was good') told us everything.","incisive, cutting, keen",Claude Bonus Words 1
truculent,"aggressively defiant and eager to argue","The truculent parrot disagrees with everything, including compliments about his feathers.","belligerent, combative, defiant",Claude Bonus Words 1
tumult,"a loud commotion or uproar","A tumult erupted in the bleachers when the mascot tripped over the other mascot.","uproar, commotion, chaos",Claude Bonus Words 1
umbrage,"offense or annoyance taken at something","The cat took umbrage at the new kitten's existence and filed her complaint on the curtains.","offense, resentment, indignation",Claude Bonus Words 1
uncanny,"strange in an unsettling, almost supernatural way","The twins have an uncanny ability to blame each other in perfect unison.","eerie, strange, unsettling",Claude Bonus Words 1
uncouth,"lacking manners or refinement","It's considered uncouth to lick the mixing bowl at a bake sale, as I learned publicly.","crude, boorish, unrefined",Claude Bonus Words 1
unctuous,"excessively flattering in an insincere, oily way","The unctuous salesman complimented my 'discerning eye' as I stood there choosing between two identical toasters.","oily, smarmy, ingratiating",Claude Bonus Words 1
underscore,"to emphasize or draw attention to","The third fire drill this week underscored the importance of not microwaving popcorn on 'max.'","emphasize, highlight, stress",Claude Bonus Words 1
unkempt,"messy and uncared for","His unkempt hair suggested he had lost a fight with his own pillow.","messy, disheveled, scruffy",Claude Bonus Words 1
vacuous,"empty of ideas or intelligence; mindless","The influencer's vacuous caption ('vibes') accompanied a photo of a wall.","empty-headed, inane, mindless",Claude Bonus Words 1
vanquish,"to defeat thoroughly","Armed with a flyswatter and unearned confidence, Dad vowed to vanquish the housefly by sundown.","conquer, defeat, crush",Claude Bonus Words 1
vapid,"dull and lacking liveliness or flavor","The sequel was so vapid that the theater's exit sign became the most compelling character.","dull, insipid, bland",Claude Bonus Words 1
veneer,"a thin attractive surface hiding what's beneath","His veneer of calm cracked the instant the birthday clown pulled out a second balloon sword.","facade, gloss, front",Claude Bonus Words 1
verbatim,"word for word; in exactly the same words","My little sister repeated my private phone call verbatim at dinner, complete with my hand gestures.","word-for-word, exactly, literally",Claude Bonus Words 1
vernacular,"the everyday language of a place or group","In our family's vernacular, 'five more minutes' means anywhere from one hour to never.","dialect, lingo, everyday speech",Claude Bonus Words 1
vicissitude,"an unexpected change or shift in circumstances","The vicissitudes of middle school popularity can hinge entirely on one lunchbox.","fluctuation, change, ups and downs",Claude Bonus Words 1
visceral,"felt deep in the body; instinctive rather than intellectual","My reaction to stepping on a LEGO was visceral, immediate, and heard by the neighbors.","instinctive, gut, primal",Claude Bonus Words 1
vitriolic,"filled with bitter, corrosive criticism","The rival bakery's vitriolic review of our scones used the word 'hockey puck' four times.","scathing, caustic, venomous",Claude Bonus Words 1
waive,"to voluntarily give up a right or claim","The referee waived the penalty after the mascot admitted the whole thing was his fault.","forgo, relinquish, give up",Claude Bonus Words 1
wanton,"deliberate and unprovoked; reckless","The seagull's wanton destruction of my nachos was witnessed by forty silent beachgoers.","reckless, gratuitous, unprovoked",Claude Bonus Words 1
wayward,"unpredictable and hard to control","The wayward shopping cart drifted across the parking lot with the confidence of a captain heading to sea.","unruly, errant, capricious",Claude Bonus Words 1
wield,"to hold and use power or a tool","Whoever wields the TV remote controls the destiny of family movie night.","exercise, handle, brandish",Claude Bonus Words 1
wily,"clever at tricking others; crafty","The wily raccoon defeated our 'raccoon-proof' trash can in under a minute and left a one-star review of the leftovers.","cunning, crafty, sly",Claude Bonus Words 1
xenophobia,"fear or hatred of foreigners or strangers","The ducks' xenophobia toward the new swan lasted until she started sharing her bread.","prejudice, intolerance, bigotry",Claude Bonus Words 1
