word,definition,sentence,synonyms,tags
piety,Devout religious reverence; also dutiful respect.,"Grandma's piety was unquestioned, though even she briefly lost composure when the choir director started beatboxing.",devotion; reverence; devoutness; faithfulness,Blue and White - Hard
placate,To make someone less angry or hostile.,"We placated the furious toddler with crackers, a sticker, and temporary control of the family government.",appease; pacify; mollify; soothe,Blue and White - Hard
plaintive,"Sounding sad, mournful, or wistful.","The dog's plaintive whine suggested he had not eaten in years, despite the kibble visibly stuck to his nose.",mournful; wistful; melancholy; sorrowful,Blue and White - Hard
plenitude,A large or abundant supply.,"The buffet offered a plenitude of desserts, and I approached it with the solemn focus of an Olympic athlete.",abundance; plenty; profusion; wealth,Blue and White - Hard
portend,"To indicate that something, usually significant or unpleasant, is likely to happen.",The sudden silence from the children's room portended either sleep or an insurance claim.,foreshadow; presage; signal; predict,Blue and White - Hard
preclude,To prevent something from happening or make it impossible.,My complete lack of rhythm did not preclude me from dancing; it merely precluded everyone else from enjoying it.,prevent; prohibit; rule out; forestall,Blue and White - Hard
precluding,Preventing something from happening or making it impossible.,"The broken elevator was precluding Grandma's dramatic entrance, so she used the stairs and arrived even more dramatically.",preventing; barring; excluding; ruling out,Blue and White - Hard
precocious,Showing unusually advanced ability at a young age.,"The precocious five-year-old corrected my grammar, explained compound interest, and then demanded dinosaur-shaped pasta.",advanced; gifted; mature; ahead,Blue and White - Hard
predilection,A preference or special liking for something.,My uncle's predilection for Hawaiian shirts makes every family photo look like a tropical emergency.,preference; penchant; inclination; partiality,Blue and White - Hard
preeminent,Superior to or more important than all others.,"Professor Whiskers was the preeminent expert on cardboard boxes, mostly because he was a cat and had conducted years of fieldwork.",foremost; leading; supreme; distinguished,Blue and White - Hard
prescient,Having knowledge or foresight about what will happen.,"Mom looked prescient when she packed extra towels, snacks, batteries, and apparently everything needed for a minor apocalypse.",foresighted; prophetic; visionary; perceptive,Blue and White - Hard
prodigal,Wastefully extravagant with money or resources.,My prodigal cousin spent his entire allowance on a fog machine for his bedroom and then asked to borrow bus fare.,wasteful; extravagant; spendthrift; lavish,Blue and White - Hard
prodigious,"Remarkably great in size, amount, or degree.",The toddler produced a prodigious quantity of spaghetti from places no spaghetti should have been.,enormous; immense; extraordinary; tremendous,Blue and White - Hard
purveyor,A person or business that supplies or sells something.,"The corner shop is a purveyor of fine chocolates, mediocre umbrellas, and inexplicably aggressive greeting cards.",supplier; vendor; provider; seller,Blue and White - Hard
qualms about,"Feelings of doubt, uneasiness, or moral concern about something.","I had qualms about eating the mystery casserole after the chef whispered, 'Don't ask what the crunchy part is.'",misgivings; doubts; reservations; scruples,Blue and White - Hard
quandary,A difficult situation requiring a choice between options.,I faced a quandary: admit I broke the vase or let everyone continue blaming the extremely innocent-looking dog.,dilemma; predicament; bind; uncertainty,Blue and White - Hard
rancor,"Deep, lasting bitterness or resentment.",Years of rancor divided the two neighbors over a dispute that began with one borrowed wheelbarrow in 1998.,bitterness; resentment; acrimony; animosity,Blue and White - Hard
rapier,"A long, slender, sharply pointed sword; figuratively, something sharply witty.",Her rapier wit ended the argument with one sentence and left three uncles quietly reconsidering their lives.,sword; blade; wit; sharpness,Blue and White - Hard
raze,To completely destroy a building or structure.,"The developers razed the old shed, disappointing the raccoon family that had recently renovated the attic.",demolish; destroy; flatten; level,Blue and White - Hard
recant,To publicly withdraw a statement or belief.,I recanted my claim that assembling the bookshelf would be 'easy' approximately three screws and one existential crisis later.,retract; withdraw; renounce; disavow,Blue and White - Hard
redress,To remedy or correct a wrong; also compensation for a wrong.,The hotel offered free breakfast to redress the injustice of assigning us a room directly beside the accordion convention.,remedy; rectify; compensate; correct,Blue and White - Hard
reprehensible,Deserving strong condemnation; morally very wrong.,Stealing Grandma's pie was reprehensible; returning the empty dish and asking for whipped cream was somehow worse.,deplorable; shameful; disgraceful; blameworthy,Blue and White - Hard
reprieve,A temporary delay or escape from punishment or difficulty.,"The canceled math test gave us a reprieve, though the teacher ominously called it 'merely a postponement of destiny.'",respite; postponement; relief; stay,Blue and White - Hard
reprove,To criticize or correct someone for wrongdoing.,"Mom reproved the dog for stealing dinner, while the dog stared solemnly at the cat as if preparing an appeal.",rebuke; reprimand; admonish; scold,Blue and White - Hard
repudiate,"To reject, deny, or refuse to accept something.","After tasting the neon-green casserole, even its creator repudiated it and ordered pizza.",reject; disavow; renounce; deny,Blue and White - Hard
saccharine,"Excessively sweet, either in taste or sentiment.","The movie's saccharine ending featured puppies, rainbows, a group hug, and a spontaneous choir singing about friendship.",syrupy; cloying; sentimental; sugary,Blue and White - Hard
sate,To fully satisfy a desire or appetite.,I attempted to sate my hunger with one cookie and conducted additional research using eleven more.,satisfy; fill; gratify; satiate,Blue and White - Hard
scrupulous,Very careful to do things correctly and ethically.,"The scrupulous cashier returned the extra penny, documented the incident, and probably notified the Treasury.",meticulous; conscientious; principled; exact,Blue and White - Hard
shrewd,Showing sharp practical judgment.,"The shrewd eight-year-old sold lemonade beside the marathon finish line and accepted cash, cards, and 'desperate promises.'",astute; clever; savvy; perceptive,Blue and White - Hard
sinuous,Having many smooth curves or bends.,The sinuous garden path wound so dramatically that reaching the mailbox felt like crossing the Andes.,winding; curving; serpentine; twisting,Blue and White - Hard
slapdash,Done carelessly and too quickly.,"His slapdash repair involved duct tape, chewing gum, and the phrase 'Nobody touch the ceiling fan.'",careless; hasty; shoddy; makeshift,Blue and White - Hard
solemn,"Serious, formal, and dignified.","With solemn faces, the children buried the broken remote control and observed seven seconds of silence.",serious; grave; somber; dignified,Blue and White - Hard
spartan,"Very simple, austere, and lacking comfort or luxury.","The hotel room was spartan: one bed, one chair, and a decorative painting that appeared to apologize.",austere; bare; simple; severe,Blue and White - Hard
spurn,To reject someone or something with contempt.,The cat spurned the expensive salmon and ate a dust bunny from beneath the refrigerator.,reject; rebuff; scorn; disdain,Blue and White - Hard
stalwart,"Loyal, dependable, and strong; a devoted supporter.","Our stalwart babysitter remained calm through a power outage, a plumbing leak, and the toddler declaring himself emperor.",loyal; steadfast; reliable; staunch,Blue and White - Hard
stanza,A grouped set of lines in a poem.,"My poem's final stanza rhymed 'orange' with 'door hinge,' causing the English teacher to age visibly.",verse; section; poetic unit,Blue and White - Hard
stasis,A state in which there is little or no change or movement.,"Negotiations reached stasis when both siblings refused to surrender the blue cup, despite six identical cups nearby.",standstill; equilibrium; inactivity; deadlock,Blue and White - Hard
sterile,Free from living microorganisms; also lacking creativity or vitality.,The laboratory was sterile; my brother's bedroom appeared to be conducting the opposite experiment.,germ-free; aseptic; barren; lifeless,Blue and White - Hard
strident,"Loud, harsh, and forceful.","A strident voice from the back seat demanded to know whether we were there yet, fourteen seconds after departure.",shrill; harsh; clamorous; forceful,Blue and White - Hard
stymie,"To block, hinder, or prevent progress.",My plan to become a world-famous chef was stymied by the discovery that boiling water requires attention.,thwart; hinder; obstruct; frustrate,Blue and White - Hard
supple,Flexible and able to bend easily; adaptable.,The yoga instructor was supple enough to fold herself like a paper clip; I was supple enough to reach one sock.,flexible; limber; pliant; adaptable,Blue and White - Hard
surly,Bad-tempered and unfriendly.,The surly barista wrote 'Probably Brian' on my cup and sighed as though coffee itself had betrayed him.,gruff; sullen; irritable; unfriendly,Blue and White - Hard
surreptitious,"Secretive, especially because discovery would cause trouble.",My surreptitious midnight trip to the refrigerator failed when the cheese drawer squeaked like a haunted violin.,secret; stealthy; furtive; covert,Blue and White - Hard
tantamount,Equivalent in effect or seriousness.,"For my grandmother, declining a second helping was tantamount to declaring war on the family.",equivalent; comparable; virtually the same,Blue and White - Hard
temerity,Excessive boldness or nerve.,He had the temerity to correct Grandma's lasagna recipe while actively eating his third serving.,audacity; nerve; boldness; impudence,Blue and White - Hard
tenuous,"Very weak, slight, or uncertain.","My tenuous excuse for being late involved a squirrel, a drawbridge, and several events that do not occur in our state.",weak; flimsy; fragile; doubtful,Blue and White - Hard
torpor,A state of physical or mental inactivity or sluggishness.,"After Thanksgiving dinner, the entire family entered a state of torpor broken only by the distant sound of pie being served.",lethargy; sluggishness; stupor; inactivity,Blue and White - Hard
ungainly,"Awkward, clumsy, or difficult to handle.","The ungainly inflatable flamingo required four adults, two ropes, and an apology to the neighbor's hedge.",awkward; clumsy; cumbersome; graceless,Blue and White - Hard
unwitting,Not aware of what one is doing or of the full facts.,I became the unwitting accomplice in my niece's cookie theft when she hid the evidence in my coat pocket.,unaware; inadvertent; unsuspecting; accidental,Blue and White - Hard
venerate,To regard with very great respect or reverence.,"My family venerates Grandma's secret cookie recipe, though Grandma insists the secret is 'following the directions on the bag.'",revere; honor; worship; esteem,Blue and White - Hard
verisimilitude,The appearance of being true or real.,The cardboard spaceship had surprising verisimilitude until the captain's mother called him inside for dinner.,realism; authenticity; plausibility; lifelikeness,Blue and White - Hard
vigilant,Watchful and alert for danger or problems.,The vigilant lifeguard noticed every unsafe swimmer except the duck repeatedly stealing French fries.,watchful; alert; attentive; wary,Blue and White - Hard
virtuoso,"A person with exceptional skill, especially in music or art.",The piano virtuoso played Chopin flawlessly while I contributed by turning pages at several completely wrong moments.,master; expert; prodigy; maestro,Blue and White - Hard
virulent,"Extremely harmful, hostile, or poisonous; especially severe of a disease or criticism.",The review was so virulent that the restaurant's bread basket may have needed therapy.,toxic; vicious; severe; venomous,Blue and White - Hard
vituperous,"Full of harsh, abusive criticism.","The losing candidate's vituperous speech accused the bake-sale judges of corruption, incompetence, and suspicious loyalty to brownies.",abusive; scathing; vitriolic; insulting,Blue and White - Hard
willful,"Deliberate and intentional, especially stubbornly disobedient.",The dog's destruction of the couch looked willful; he paused halfway through to make eye contact.,deliberate; intentional; obstinate; headstrong,Blue and White - Hard
zealous,Showing intense enthusiasm or devotion.,The zealous crossing guard treated our quiet cul-de-sac like the final checkpoint in an international security operation.,fervent; enthusiastic; ardent; devoted,Blue and White - Hard
